age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
24,7,2,Master,Full-time,57173,Same Religion,1,6.70265501,2,Avoidant,5.696813105,0,0,0,9.254212475,6,Arranged,1,0,3.423736386,0
25,1,1,Bachelor,Full-time,64885,Same Religion,1,4.731870486,2,Collaborative,5.091891163,0,0,0,4.534875417,2,Love,1,0,5.003833069,1
33,2,2,Bachelor,Full-time,80037,Same Religion,1,3.727194676,0,Collaborative,7.039998511,0,0,0,4.806562147,3,Arranged,1,0,4.384861786,1
29,6,0,High School,Homemaker,40908,Not Religious,0,7.081663849,2,Collaborative,7.064509983,1,0,0,3.088308467,1,Love,0,0,5.77544285,0
19,9,1,PhD,Full-time,63555,Not Religious,1,8.503443446,1,Collaborative,8.056472104,0,0,0,7.14542078,3,Love,1,0,9.694057898,0
29,8,1,Bachelor,Full-time,47219,Different Religion,1,4.514940989,1,Aggressive,5.511584341,0,0,0,5.146423214,3,Love,1,0,1.327305413,0
26,13,0,No Formal Education,Homemaker,44513,Same Religion,1,4.946655027,5,Aggressive,10,0,0,0,5.810338606,0,Other,1,0,5.933403581,0
24,3,1,No Formal Education,Homemaker,95039,Same Religion,1,6.009671499,3,Avoidant,7.312483494,0,0,1,5.76420843,3,Other,1,0,7.024036437,0
31,8,1,Master,Unemployed,58212,Different Religion,1,6.011852589,2,Collaborative,10,0,0,0,2.621622708,1,Love,1,0,6.194355482,0
33,1,0,High School,Part-time,38761,Same Religion,0,2.055657204,4,Aggressive,5.214019589,1,0,0,4.954687639,3,Love,0,0,9.203863829,0
32,5,3,Bachelor,Full-time,57769,Same Religion,0,5.152033338,0,Aggressive,10,1,0,0,8.437675439,4,Love,0,0,6.962169202,0
23,13,2,High School,Full-time,35810,Not Religious,1,9.590467478,3,Avoidant,6.78776364,0,0,1,6.295150552,2,Love,0,0,6.477576093,0
26,11,2,Master,Full-time,55651,Same Religion,0,8.794885814,1,Avoidant,2.437693845,0,0,0,2.239437479,6,Love,1,0,3.755112054,0
29,40,2,Master,Unemployed,46430,Same Religion,0,9.408594435,4,Avoidant,2.619315617,0,0,0,5.711054944,1,Love,1,0,8.284991099,0
32,3,1,No Formal Education,Full-time,70218,Same Religion,0,7.235223712,1,Avoidant,4.258354154,0,0,0,5.109539113,0,Arranged,1,1,3.966563126,1
25,6,2,Bachelor,Part-time,98741,Not Religious,0,4.936115249,4,Collaborative,4.228492315,0,0,0,5.200622921,1,Love,1,0,6.601983247,0
27,3,2,Bachelor,Full-time,56501,Not Religious,1,6.512803335,2,Avoidant,5.850609658,0,0,0,4.817119835,0,Love,1,0,3.482553775,1
22,5,3,Bachelor,Full-time,47181,Not Religious,1,7.196819541,3,Collaborative,9.396150255,0,0,1,4.811594824,2,Love,1,0,9.522426073,0
22,19,1,Bachelor,Part-time,61820,Different Religion,1,5.341582113,2,Collaborative,5.809356352,0,0,0,5.705989476,2,Love,1,0,6.210819422,0
32,11,3,Bachelor,Unemployed,89825,Same Religion,1,2.551032363,1,Collaborative,2.483524211,0,0,0,4.691891528,2,Love,1,0,8.386823526,0
34,21,1,Bachelor,Full-time,70326,Not Religious,0,7.810919615,1,Avoidant,6.09597515,0,1,0,7.726026989,2,Arranged,1,0,7.66110517,1
27,2,2,PhD,Full-time,57179,Same Religion,1,5.102897474,2,Aggressive,3.994620266,0,0,0,4.600621068,4,Love,0,0,6.265998687,0
33,20,1,Bachelor,Full-time,18672,Same Religion,0,7.252790099,0,Collaborative,4.124290009,0,1,0,3.610279362,2,Other,0,0,7.53680787,1
29,1,0,Master,Full-time,58953,Same Religion,1,2.837848198,1,Aggressive,4.534563537,0,1,0,8.292720521,3,Love,0,0,5.941440277,1
24,21,2,Master,Part-time,75530,Not Religious,1,4.716737717,0,Aggressive,4.082013002,0,0,1,5.031021218,3,Love,1,0,1,0
29,3,2,Bachelor,Full-time,79150,Not Religious,1,6.775865186,1,Collaborative,1.761573376,0,0,1,5.344440468,4,Love,1,0,3.888989811,0
35,3,0,Bachelor,Full-time,86216,Same Religion,0,7.262075146,4,Collaborative,5.239016832,1,0,0,2.423503566,4,Arranged,1,0,7.55301529,0
27,7,3,Bachelor,Homemaker,46510,Same Religion,1,7.497121395,3,Collaborative,9.352078798,1,0,0,2.112276008,1,Love,0,0,4.534886635,1
35,28,0,Bachelor,Part-time,51939,Not Religious,1,5.862255555,0,Passive,7.001524952,0,0,0,5.963328764,3,Love,0,0,5.657835551,0
18,1,0,High School,Full-time,57595,Same Religion,1,6.385681644,2,Collaborative,2.027049427,0,0,1,7.11150493,4,Love,0,0,7.070764347,1
32,4,2,Bachelor,Full-time,74192,Different Religion,0,6.779376364,3,Avoidant,1,0,0,0,8.539902157,2,Love,1,0,6.237396759,1
28,19,4,No Formal Education,Full-time,54737,Same Religion,1,6.639362854,1,Collaborative,5.825225616,0,0,1,5.733282498,4,Love,1,0,3.179765078,0
26,5,1,High School,Full-time,70496,Same Religion,0,7.142361102,0,Collaborative,6.445152146,0,0,0,6.132330713,3,Love,0,0,3.287470099,0
28,2,3,Bachelor,Part-time,52312,Same Religion,1,3.697552611,3,Collaborative,6.439469916,0,0,0,4.888040424,3,Other,1,0,6.480176859,1
18,5,3,Master,Part-time,45883,Same Religion,1,9.726487326,1,Collaborative,5.281960818,0,0,1,7.368501921,5,Love,1,0,8.200173275,0
26,4,2,Bachelor,Full-time,82194,Different Religion,1,5.631566638,1,Aggressive,2.41099642,0,0,0,6.530381674,3,Other,1,0,9.534781931,0
29,24,1,Bachelor,Part-time,66247,Not Religious,0,5.810204221,3,Avoidant,9.156344928,0,0,1,4.655670586,2,Love,1,0,9.906864749,1
35,14,3,Master,Full-time,74932,Same Religion,1,5.417922199,0,Collaborative,4.686340064,0,0,0,5.091887805,1,Love,0,1,7.133443663,1
25,7,4,Bachelor,Full-time,55874,Not Religious,1,6.463506138,4,Collaborative,3.701616688,0,0,1,3.260737325,4,Love,1,0,8.028876065,0
23,40,2,High School,Unemployed,76082,Different Religion,1,3.115285826,1,Collaborative,6.234936304,0,0,0,4.830917994,3,Love,0,0,7.192758258,1
25,6,2,No Formal Education,Full-time,38746,Same Religion,0,5.025432704,4,Avoidant,3.738305648,0,0,0,6.61172992,3,Love,1,0,4.172889293,0
32,1,3,Bachelor,Full-time,41931,Same Religion,1,2.183784286,3,Collaborative,2.168096256,0,0,0,6.734246513,3,Arranged,1,0,3.959669094,1
29,3,0,Bachelor,Homemaker,78842,Different Religion,1,5.064104363,2,Avoidant,3.782447235,0,1,0,4.342415314,4,Love,0,0,6.229962893,1
25,5,1,Bachelor,Full-time,58595,Same Religion,1,6.315651574,2,Collaborative,5.605860244,0,0,1,3.033243135,3,Love,1,1,8.190678194,0
30,1,1,High School,Full-time,55069,Same Religion,1,7.138984655,1,Collaborative,8.272589544,0,0,0,5.463886617,2,Arranged,0,0,4.48503829,1
28,29,1,No Formal Education,Unemployed,41609,Not Religious,1,5.881521681,0,Collaborative,1,0,0,0,10,4,Love,1,0,5.902160455,0
32,14,2,Master,Part-time,76089,Different Religion,1,6.5719722,1,Collaborative,6.060079164,1,0,1,6.631072476,0,Love,1,0,7.553708891,0
24,3,4,High School,Unemployed,97307,Same Religion,1,2.628133907,1,Collaborative,7.102268074,1,0,0,3.61952274,4,Love,1,0,5.843894872,1
26,8,2,No Formal Education,Full-time,72152,Same Religion,1,6.311842885,3,Avoidant,6.017560943,0,0,0,5.309065946,4,Love,0,0,6.073941527,0
26,12,2,Master,Full-time,51017,Same Religion,1,8.514125172,0,Collaborative,6.587876615,0,0,1,4.304108057,1,Arranged,1,0,8.410315183,0
20,28,0,Bachelor,Full-time,87735,Same Religion,1,6.927619026,2,Avoidant,8.533834524,0,0,0,6.660446,4,Love,0,0,10,0
29,21,4,Bachelor,Part-time,67187,Same Religion,0,4.507154788,2,Collaborative,7.355588652,0,1,0,3.437147035,1,Love,0,0,3.519395478,1
29,7,2,High School,Full-time,51340,Same Religion,1,6.338098727,4,Collaborative,4.007579114,0,1,0,7.717086411,6,Love,0,0,5.811395241,0
28,14,1,Bachelor,Part-time,85513,Same Religion,1,8.729720772,2,Collaborative,7.391373016,0,0,1,5.994207618,0,Love,1,0,10,0
26,8,0,High School,Full-time,56391,Different Religion,0,7.13905808,0,Avoidant,5.405785633,0,1,0,5.915535279,2,Love,0,0,6.214459792,1
20,8,2,Bachelor,Full-time,31146,Same Religion,1,7.193530317,2,Aggressive,6.960402651,0,0,0,3.894916076,1,Love,1,0,4.4692035,0
25,1,4,Bachelor,Full-time,53647,Same Religion,1,4.427592041,2,Collaborative,1.876714431,0,0,0,4.521689674,2,Love,1,0,7.160281514,0
26,1,0,Master,Homemaker,70641,Same Religion,1,5.27520722,4,Aggressive,4.563567314,0,0,0,1.769704419,4,Arranged,0,0,5.822135982,0
23,7,0,Master,Homemaker,45646,Same Religion,1,5.862714339,2,Aggressive,6.508411919,0,0,0,5.960987306,8,Love,0,0,3.416276844,0
27,3,2,High School,Homemaker,22553,Same Religion,1,9.61381618,1,Collaborative,4.682720479,1,0,1,8.009354573,1,Love,0,0,5.176881254,0
30,1,0,Master,Full-time,89396,Same Religion,0,4.17488885,4,Avoidant,6.331414126,0,1,0,4.431420889,3,Love,1,1,7.534574362,0
37,12,1,Bachelor,Full-time,119878,Same Religion,1,6.519266101,4,Collaborative,8.356604462,0,0,1,5.628444198,6,Love,1,0,4.520398161,1
28,1,2,Bachelor,Full-time,50490,Same Religion,1,7.346411296,2,Collaborative,4.31747943,0,0,0,4.483040857,7,Love,1,0,6.925619076,1
29,9,1,High School,Part-time,47403,Not Religious,0,7.483545943,0,Avoidant,7.212207928,0,0,0,4.344161948,6,Arranged,1,0,10,0
27,7,1,Master,Full-time,33058,Same Religion,1,5.503114508,3,Aggressive,2.429372838,0,1,0,4.047032405,1,Love,1,0,3.736652429,0
18,34,0,PhD,Full-time,43576,Same Religion,1,5.347785615,2,Avoidant,6.898164057,0,0,1,7.578362656,4,Love,0,0,5.537771851,1
27,6,0,Master,Full-time,29443,Same Religion,1,9.855182787,1,Collaborative,1,0,0,1,5.78287168,5,Arranged,0,1,6.926116257,1
28,1,0,PhD,Full-time,33900,Not Religious,0,5.463740207,2,Collaborative,5.492339424,0,1,1,3.843281193,3,Love,0,0,6.674082049,0
40,8,0,Bachelor,Full-time,60044,Not Religious,1,5.163431374,1,Aggressive,5.412444059,0,1,0,7.118854391,6,Love,1,0,6.977576101,0
27,18,2,Master,Full-time,28419,Same Religion,1,7.858315448,3,Aggressive,9.302363857,0,0,0,3.696150389,0,Other,1,0,5.714836203,1
29,40,5,Bachelor,Full-time,30631,Same Religion,1,6.2567622,1,Collaborative,3.785796681,0,0,0,6.482018044,6,Love,1,0,7.207927523,0
27,5,2,High School,Full-time,64140,Same Religion,1,3.398401474,1,Collaborative,1,0,0,0,5.618894555,3,Love,1,0,5.191329324,0
22,3,1,Bachelor,Part-time,47650,Same Religion,1,7.959001468,4,Collaborative,6.312322672,0,1,0,7.928289368,5,Love,0,0,4.924677787,0
33,23,4,Bachelor,Unemployed,67133,Same Religion,1,5.204587924,0,Avoidant,2.468896361,0,0,0,6.28756764,3,Love,0,0,5.627178474,0
31,2,0,High School,Full-time,53159,Same Religion,1,5.182988256,5,Collaborative,5.151439013,0,1,0,6.796436049,1,Love,0,0,8.7679376,1
31,9,1,High School,Unemployed,56288,Same Religion,0,10,4,Aggressive,3.349895926,0,0,0,5.228219884,5,Love,1,0,5.486287995,1
23,5,0,High School,Full-time,75602,Same Religion,0,5.530702457,1,Aggressive,4.484406346,0,1,0,6.802652188,3,Love,1,0,9.150761483,1
35,1,2,Bachelor,Full-time,49026,Same Religion,0,6.134680754,4,Passive,1,0,0,1,5.362516622,4,Love,1,0,3.000180582,1
20,4,0,High School,Part-time,74194,Not Religious,1,7.82639923,0,Avoidant,1,1,0,0,6.728803075,4,Other,1,0,8.307123049,0
30,3,0,High School,Homemaker,51603,Same Religion,1,4.135841884,1,Avoidant,5.954823875,0,0,0,6.964066855,6,Love,0,0,8.397857198,0
38,11,4,Bachelor,Part-time,43585,Different Religion,1,7.116656791,1,Aggressive,4.637313291,0,0,0,9.816558188,3,Love,1,0,5.817860613,1
23,29,3,No Formal Education,Full-time,38519,Same Religion,1,7.848067958,2,Aggressive,2.138018632,0,0,0,1,3,Love,1,0,9.955291884,1
25,3,2,Master,Part-time,26866,Same Religion,1,8.653033796,0,Collaborative,3.61917269,0,0,0,4.412891008,1,Love,0,0,5.976243681,1
28,16,3,Bachelor,Full-time,35191,Not Religious,1,7.318852958,5,Aggressive,6.226955174,0,0,0,2.954229749,4,Arranged,1,0,7.290128977,1
25,1,1,No Formal Education,Full-time,24530,Same Religion,1,3.790059462,4,Collaborative,4.305637408,0,0,1,4.198830351,4,Love,0,0,3.983096354,0
20,7,1,Bachelor,Full-time,40109,Same Religion,1,6.872534603,0,Collaborative,6.08661835,0,0,0,6.435573458,4,Love,0,0,6.479063986,0
28,1,0,Bachelor,Part-time,76420,Same Religion,1,3.309904256,1,Collaborative,2.810520736,0,0,0,6.087440288,2,Love,0,0,4.295960915,0
22,27,0,Bachelor,Full-time,59833,Same Religion,1,8.460062289,0,Aggressive,6.371533948,0,0,0,8.303018251,1,Love,0,0,1.410038297,0
30,14,1,Bachelor,Unemployed,52242,Same Religion,0,8.14833008,1,Aggressive,4.402533243,1,1,1,7.543133131,3,Love,1,0,8.465333715,1
23,10,1,High School,Part-time,46174,Same Religion,1,6.449437489,3,Collaborative,5.954696778,0,0,0,6.438765236,3,Arranged,1,0,6.599184107,0
35,17,0,Bachelor,Full-time,58374,Same Religion,0,6.368093157,3,Avoidant,5.729317188,1,0,0,10,2,Love,1,0,8.442742578,0
24,10,1,Bachelor,Homemaker,60604,Same Religion,0,5.984833508,2,Passive,3.990249899,1,1,1,4.898019533,5,Love,1,0,6.148141301,1
26,34,2,Bachelor,Part-time,37698,Same Religion,0,5.946916228,3,Collaborative,4.112142236,0,0,0,7.97613811,2,Arranged,0,0,2.641225694,0
32,12,0,Master,Full-time,69271,Same Religion,0,7.935657621,2,Collaborative,4.621305817,0,0,0,4.503227464,1,Arranged,0,0,6.815809909,0
21,25,2,Bachelor,Full-time,53487,Different Religion,1,5.37715868,0,Collaborative,6.707298316,0,0,1,3.077172518,3,Love,1,0,6.676059076,0
29,7,1,Master,Part-time,65936,Same Religion,1,10,2,Aggressive,9.319321629,0,0,0,4.983407826,1,Arranged,0,0,4.974082797,1
34,1,2,Bachelor,Full-time,59359,Different Religion,0,6.346129923,0,Avoidant,3.027602591,0,0,0,7.731023142,1,Love,1,0,5.535885611,0
19,7,1,No Formal Education,Homemaker,31631,Not Religious,1,8.483054134,2,Passive,7.417075803,0,0,0,4.855060321,4,Love,0,0,6.959928182,1
28,1,2,Bachelor,Full-time,86016,Same Religion,1,2.690149118,2,Aggressive,4.33935463,0,0,0,6.257829241,3,Other,0,0,5.394669763,1
29,8,0,PhD,Full-time,59770,Same Religion,1,4.845511943,1,Aggressive,4.740577667,0,1,0,4.556079043,2,Arranged,1,1,6.521803442,0
31,6,1,Master,Homemaker,52646,Same Religion,1,7.83279157,3,Passive,5.711091233,0,0,0,5.771524678,3,Love,1,0,6.184858738,1
21,9,1,Bachelor,Homemaker,71651,Same Religion,0,6.645393126,1,Passive,3.868113477,0,0,0,8.478635768,4,Arranged,0,0,5.765212008,0
21,1,4,Bachelor,Full-time,36853,Different Religion,1,6.056870501,1,Aggressive,4.103301042,1,0,0,5.250187924,2,Arranged,0,0,5.276909625,1
30,2,1,High School,Unemployed,28514,Same Religion,1,8.119271448,2,Avoidant,9.677793465,0,0,0,8.438404126,4,Love,1,0,2.556460133,0
29,6,2,No Formal Education,Full-time,71131,Same Religion,0,10,0,Avoidant,5.210793665,0,0,0,3.315578699,4,Love,0,0,4.123255623,1
29,30,1,High School,Unemployed,82931,Same Religion,1,3.688543242,1,Aggressive,6.239294401,0,0,0,1,6,Love,1,0,5.439193829,0
29,4,1,Bachelor,Homemaker,65728,Different Religion,0,8.001787303,2,Collaborative,9.549613209,0,0,0,3.527114365,4,Love,1,0,2.71473546,1
24,5,1,Bachelor,Full-time,76115,Same Religion,0,5.11530181,1,Aggressive,9.472228284,0,0,0,6.613562984,1,Love,1,0,4.037029236,1
29,12,3,Bachelor,Full-time,34676,Not Religious,0,7.70965066,1,Aggressive,4.559016373,1,0,0,5.493954136,4,Love,1,0,7.097257315,0
29,9,1,Bachelor,Full-time,52814,Different Religion,1,5.091907985,2,Aggressive,3.060720952,0,0,1,4.86761321,8,Love,0,0,4.732286184,0
24,3,1,PhD,Full-time,46839,Same Religion,1,7.058750044,4,Aggressive,2.314265335,0,0,0,2.637493384,4,Love,0,0,7.292702771,0
37,5,0,Bachelor,Full-time,80551,Same Religion,1,7.240533038,3,Passive,2.058375855,0,0,1,3.455486761,2,Love,1,0,7.691255788,1
30,2,1,No Formal Education,Unemployed,69881,Same Religion,1,4.606981279,1,Collaborative,3.93127715,0,1,0,4.342659699,4,Other,1,0,2.508700438,0
22,33,1,Bachelor,Full-time,80623,Same Religion,1,5.049633617,1,Collaborative,2.24565853,0,0,0,6.26303816,5,Love,1,0,10,0
31,1,2,High School,Full-time,47642,Not Religious,1,5.62206676,4,Passive,4.840047655,0,0,1,7.605413344,3,Love,0,0,5.501644066,0
23,4,2,High School,Unemployed,37370,Same Religion,1,2.749460007,1,Aggressive,3.208416854,0,0,1,4.546365031,2,Love,1,0,3.186956024,0
31,1,1,Master,Full-time,86581,Same Religion,1,6.907464141,3,Collaborative,4.157756239,1,0,0,4.377464327,3,Arranged,0,0,7.939992125,0
33,2,3,High School,Full-time,60522,Same Religion,1,8.945538858,1,Passive,4.750681139,0,0,0,4.03030214,2,Love,1,0,6.124826624,0
23,15,0,Bachelor,Full-time,81297,Same Religion,1,3.481585405,0,Collaborative,4.20082119,0,1,0,8.232550701,1,Arranged,1,0,1.160546352,0
32,2,0,High School,Part-time,58701,Same Religion,0,7.316367682,4,Collaborative,2.370541376,0,0,0,5.469329321,1,Love,1,0,4.491993974,1
30,1,1,Bachelor,Full-time,104077,Same Religion,1,6.686170082,1,Collaborative,5.887920782,0,0,0,6.436156202,3,Arranged,0,0,4.73942038,1
32,6,3,Master,Unemployed,83559,Same Religion,1,4.621514174,2,Collaborative,8.076712969,1,0,0,5.231712956,1,Love,1,0,8.086240248,0
37,1,1,Bachelor,Full-time,56798,Same Religion,1,10,0,Passive,8.016911487,0,0,0,2.839871681,1,Arranged,1,0,4.984717428,0
26,1,4,High School,Part-time,60410,Same Religion,1,8.301090603,3,Collaborative,7.143270004,0,1,0,5.269787194,2,Love,0,0,4.960035569,1
24,16,0,High School,Part-time,60479,Same Religion,1,8.47709322,3,Collaborative,4.319306963,0,0,0,7.28252561,4,Love,0,0,6.856982388,0
23,14,1,Bachelor,Part-time,37278,Same Religion,1,6.081019495,1,Aggressive,3.420672376,0,0,1,5.315628305,4,Love,0,0,5.348540988,0
23,24,2,High School,Full-time,50361,Same Religion,0,2.975112205,0,Avoidant,6.763757352,1,0,0,5.346893019,1,Love,0,1,5.333028617,0
27,19,0,Bachelor,Full-time,48840,Same Religion,1,6.342479949,0,Collaborative,5.817779551,0,0,1,2.991752457,5,Arranged,1,1,8.528833654,1
29,11,0,Bachelor,Homemaker,64650,Same Religion,1,5.74962506,1,Aggressive,6.763706655,0,0,0,9.052882565,3,Love,0,1,6.528206027,0
29,1,0,High School,Full-time,43697,Same Religion,0,8.043709766,4,Aggressive,9.617241703,0,0,0,5.912177461,0,Arranged,0,0,4.606364216,1
32,15,0,Bachelor,Full-time,56998,Same Religion,1,4.817291297,1,Avoidant,4.944596096,1,0,1,8.254590097,5,Love,1,0,8.895511492,0
28,18,0,Bachelor,Part-time,52676,Same Religion,1,8.668710542,4,Avoidant,3.107884143,0,0,0,5.026074393,3,Love,1,0,9.358000976,0
35,16,1,Bachelor,Unemployed,61516,Same Religion,0,4.757677183,2,Collaborative,3.678540277,0,0,1,7.267588433,1,Other,1,0,7.351712125,0
26,7,2,Bachelor,Full-time,89362,Same Religion,1,7.41158749,1,Avoidant,5.351127258,0,1,0,6.379682582,5,Arranged,0,0,7.40647809,0
41,2,3,Bachelor,Part-time,81908,Same Religion,1,4.506287703,1,Passive,3.570927348,0,0,1,7.214065918,1,Love,0,0,7.672743419,0
